internals,assignments,viva,lab_marks,mid_exam,attendance,study_hours,backlogs,sleep_hours,stress_level,previous_cgpa,branch,year,final_score,grade
14,11,3,12,13,77,4.9,2,7.4,10,5.03,MECH,4,42.98,FAIL
12,13,3,14,12,83,5.2,1,5.0,6,5.01,ECE,2,45.08,FAIL
13,3,6,14,10,57,3.2,0,7.2,5,5.6,MECH,4,42.12,FAIL
5,7,5,10,18,61,3.9,2,3.5,4,4.36,ECE,2,38.19,FAIL
12,8,4,10,15,83,2.2,1,8.3,5,5.19,ECE,2,46.41,FAIL
8,5,6,8,10,60,3.3,0,7.4,3,4.11,CSE,4,33.07,FAIL
12,6,3,6,13,81,3.3,1,5.0,9,4.49,MECH,3,35.68,FAIL
8,6,4,12,8,54,2.7,2,9.4,6,4.11,CSE,4,26.34,FAIL
8,8,2,13,16,87,4.3,0,4.3,5,4.76,ECE,1,47.14,FAIL
8,6,1,13,9,56,3.4,0,7.8,7,3.65,MECH,3,34.63,FAIL
13,5,6,16,11,83,5.0,3,7.8,4,5.23,ECE,3,43.45,FAIL
15,8,6,13,17,84,0.8,0,5.1,3,4.96,MECH,4,54.62,D
10,10,3,13,10,64,3.8,1,6.9,5,4.83,ECE,2,40.99,FAIL
11,8,8,8,20,83,4.3,0,4.5,5,4.95,MECH,1,49.44,FAIL
9,5,6,13,15,78,3.4,4,2.7,6,4.51,ECE,4,35.16,FAIL
16,8,3,12,14,66,3.7,1,5.4,2,4.88,MECH,3,46.1,FAIL
9,9,2,8,7,59,0.8,0,6.1,4,4.49,CSE,3,35.95,FAIL
13,8,1,10,16,45,4.7,2,8.0,1,5.14,MECH,3,36.42,FAIL
10,8,4,17,22,80,5.3,2,7.1,3,5.81,ECE,4,50.57,D
6,5,4,10,8,51,5.0,3,7.1,6,4.67,MECH,3,22.91,FAIL
11,10,4,13,13,76,6.1,2,5.5,7,4.92,MECH,4,38.84,FAIL
19,9,4,16,11,71,4.4,0,6.2,3,5.68,MECH,2,51.49,D
12,9,6,14,14,85,5.0,1,5.6,4,5.79,ECE,1,49.92,FAIL
11,7,4,13,12,70,4.3,1,5.2,5,4.95,MECH,2,40.24,FAIL
14,10,5,14,18,70,5.4,2,6.1,7,5.58,MECH,2,45.11,FAIL
10,8,4,15,8,85,0.8,2,7.1,8,4.78,ECE,1,40.32,FAIL
14,8,4,13,15,80,2.2,2,6.1,5,4.91,ECE,1,43.01,FAIL
13,8,6,11,18,79,7.2,0,6.5,4,5.71,MECH,1,52.84,D
9,6,5,15,10,82,0.0,1,8.0,2,5.33,MECH,1,40.89,FAIL
18,5,1,8,10,51,3.7,1,6.2,5,4.17,ECE,1,32.2,FAIL
11,9,7,12,12,86,6.3,4,5.0,9,4.18,ECE,1,41.56,FAIL
16,10,4,13,14,84,3.8,0,7.8,8,5.29,CSE,4,49.73,FAIL
9,11,2,19,18,59,3.2,2,7.4,5,5.25,ECE,4,45.73,FAIL
8,6,4,14,10,71,4.3,0,7.5,6,4.61,CSE,3,41.26,FAIL
14,11,5,20,15,74,3.3,0,7.9,4,5.83,MECH,1,56.31,D
8,5,5,12,9,72,4.1,1,7.7,4,4.51,ECE,3,36.24,FAIL
11,9,5,15,15,80,2.6,2,7.0,5,4.85,ECE,2,44.05,FAIL
16,9,7,24,19,96,6.2,1,10.6,5,7.12,CSE,4,63.44,C
20,8,8,19,18,91,6.8,2,5.1,7,5.67,CSE,3,60.89,C
6,8,3,12,9,55,3.7,3,6.1,7,4.33,CSE,3,26.1,FAIL
15,9,4,9,9,84,1.2,1,8.5,6,5.21,CSE,3,39.92,FAIL
17,10,3,13,11,94,3.0,1,7.2,3,6.29,ECE,1,52.45,D
12,6,5,14,13,80,3.6,2,8.1,3,4.86,ECE,2,44.63,FAIL
14,12,6,20,18,91,5.0,1,7.3,3,6.54,CSE,2,62.75,C
15,10,4,14,16,100,2.0,2,9.1,5,5.41,CSE,2,52.04,D
15,11,5,17,17,90,2.5,0,5.5,1,5.92,MECH,2,62.7,C
15,6,4,12,12,78,5.0,3,9.0,5,5.3,MECH,4,39.86,FAIL
16,12,6,15,17,90,5.9,3,8.8,8,6.47,CSE,2,51.06,D
9,7,3,14,5,77,2.8,2,5.2,6,4.79,ECE,4,34.56,FAIL
14,8,4,11,11,75,1.3,1,7.9,4,4.4,ECE,2,40.4,FAIL
17,11,3,16,22,69,10.6,1,6.9,4,6.24,CSE,4,58.36,D
15,9,5,15,17,98,5.6,0,6.1,7,6.22,ECE,3,58.76,D
9,7,4,8,18,62,3.5,1,4.2,6,5.1,ECE,2,35.08,FAIL
19,9,4,16,17,97,5.7,4,5.5,5,5.77,CSE,1,53.29,D
19,9,5,10,18,82,3.8,1,8.1,4,5.93,MECH,1,52.94,D
14,6,7,11,14,54,5.7,2,8.2,5,4.91,MECH,4,36.91,FAIL
16,10,3,14,17,80,4.3,3,6.7,4,5.71,MECH,3,45.27,FAIL
14,5,0,15,12,43,4.2,3,8.2,7,4.7,ECE,2,30.68,FAIL
11,9,5,9,14,84,3.8,2,8.4,7,3.85,CSE,2,38.32,FAIL
19,15,7,14,11,88,1.1,1,7.2,2,4.93,MECH,2,57.12,D
12,9,5,15,19,66,7.9,0,5.9,3,5.7,MECH,1,53.02,D
11,5,4,9,17,76,2.1,3,7.7,8,4.85,CSE,4,35.2,FAIL
12,13,3,14,15,100,1.3,3,7.7,5,5.42,ECE,3,48.68,FAIL
13,9,5,9,12,67,3.6,1,8.0,3,5.34,CSE,4,43.65,FAIL
17,7,4,12,8,59,2.1,0,8.3,7,5.18,MECH,1,42.3,FAIL
14,9,6,14,16,97,3.9,2,5.0,6,5.5,CSE,1,52.15,D
15,7,2,17,14,100,5.4,1,6.2,9,4.23,MECH,4,48.47,FAIL
7,9,5,13,14,75,6.0,0,4.2,5,6.14,MECH,1,45.42,FAIL
15,8,3,7,11,90,5.6,3,8.1,7,4.67,CSE,3,36.07,FAIL
19,9,6,14,13,95,3.4,0,6.7,2,6.27,MECH,1,57.6,D
11,8,2,13,11,63,4.1,2,7.6,8,3.97,ECE,3,32.61,FAIL
10,11,5,14,15,67,4.8,1,4.8,7,5.45,MECH,1,46.0,FAIL
9,8,3,11,14,93,0.5,3,9.1,8,4.9,ECE,3,35.63,FAIL
14,11,4,20,26,100,5.1,2,5.2,7,5.66,CSE,2,60.07,C
7,11,5,10,13,83,1.1,0,8.2,5,4.13,MECH,4,42.57,FAIL
20,8,4,18,19,61,8.1,1,7.2,3,6.03,MECH,2,55.21,D
17,7,3,16,16,100,3.2,0,6.7,4,5.88,CSE,2,59.65,D
18,10,4,15,9,67,3.6,2,6.6,1,5.66,MECH,1,46.13,FAIL
12,7,3,15,12,69,2.5,1,6.0,3,5.49,ECE,2,44.6,FAIL
11,8,2,17,19,80,2.7,1,8.9,6,5.33,MECH,3,51.11,D
16,12,6,15,15,98,8.5,1,7.0,5,6.13,MECH,1,57.8,D
13,12,5,16,15,87,5.9,0,5.1,5,5.1,CSE,4,54.95,D
11,8,4,8,12,81,0.9,1,6.4,3,4.86,CSE,1,44.08,FAIL
21,7,6,19,22,81,7.0,1,7.2,1,6.74,CSE,4,65.58,C
17,10,1,9,16,75,6.4,2,8.3,5,5.23,MECH,3,45.58,FAIL
13,8,3,18,14,83,3.4,1,6.1,6,4.18,CSE,2,49.88,FAIL
5,5,3,11,9,37,4.6,3,6.2,3,4.14,MECH,3,19.15,FAIL
14,5,6,14,7,70,4.0,1,7.0,4,5.51,ECE,4,41.73,FAIL
14,9,5,10,14,78,7.9,2,8.3,8,5.45,MECH,2,44.16,FAIL
15,2,5,14,11,57,2.4,2,4.9,7,4.55,ECE,2,37.75,FAIL
16,5,3,17,14,80,4.3,3,7.8,2,4.73,CSE,3,47.48,FAIL
11,4,2,10,8,71,3.1,3,6.3,5,3.47,ECE,4,31.25,FAIL
7,6,4,12,9,100,1.1,2,6.5,8,5.13,MECH,1,36.91,FAIL
19,14,6,18,21,98,8.4,1,10.0,5,7.02,ECE,3,66.19,C
8,6,0,15,9,68,1.6,3,6.7,4,3.98,MECH,4,28.03,FAIL
15,10,4,13,14,72,4.4,0,8.1,7,5.39,CSE,1,50.85,D
9,8,4,12,7,73,0.5,1,8.1,7,5.25,CSE,3,36.56,FAIL
12,5,3,15,11,68,3.2,0,5.2,7,4.59,CSE,3,43.2,FAIL
8,8,3,7,17,77,4.8,0,4.2,4,5.64,CSE,4,44.79,FAIL
7,7,4,11,12,63,2.4,2,8.2,6,4.88,MECH,3,35.35,FAIL
9,7,4,11,10,58,5.2,4,5.4,8,4.41,ECE,2,24.93,FAIL
12,10,5,15,12,84,3.5,2,4.5,5,5.48,MECH,1,44.3,FAIL
18,13,6,20,17,84,6.3,2,8.5,4,6.89,ECE,3,62.3,C
8,9,4,16,14,62,6.7,1,5.5,7,4.67,ECE,4,41.71,FAIL
11,12,4,12,14,88,2.8,3,5.8,9,4.76,ECE,1,41.4,FAIL
10,8,5,11,13,65,4.2,1,10.0,9,4.43,MECH,4,35.84,FAIL
16,8,7,14,16,78,4.4,3,4.5,4,5.25,ECE,1,47.28,FAIL
14,12,7,17,15,87,5.2,2,5.1,4,5.43,CSE,3,56.75,D
11,7,3,18,20,74,4.0,4,6.3,3,5.9,ECE,3,43.18,FAIL
12,11,2,11,17,81,4.4,2,6.6,5,6.06,MECH,4,45.15,FAIL
11,8,5,14,11,67,3.5,1,5.7,3,5.44,CSE,4,40.32,FAIL
9,7,4,13,15,72,4.2,0,5.3,4,5.62,MECH,1,46.21,FAIL
19,10,4,20,16,71,6.6,3,9.3,6,5.24,ECE,4,53.05,D
12,7,4,9,14,63,5.3,2,7.4,6,4.6,MECH,4,35.38,FAIL
12,6,4,11,14,72,5.4,2,7.9,1,6.03,ECE,1,39.42,FAIL
8,8,1,10,6,51,5.4,1,6.8,8,4.61,MECH,1,25.84,FAIL
11,7,3,16,19,67,3.7,0,7.4,3,6.26,CSE,1,51.53,D
13,8,2,14,12,70,4.6,0,8.4,3,4.57,ECE,3,44.68,FAIL
7,8,5,11,6,71,1.8,2,5.5,3,5.21,MECH,4,35.77,FAIL
15,11,8,18,14,71,6.5,0,7.4,4,5.89,CSE,3,58.67,D
13,3,3,10,13,74,0.0,2,8.0,3,4.6,CSE,3,38.94,FAIL
12,7,8,16,11,82,3.8,1,9.3,3,5.27,MECH,2,48.97,FAIL
14,11,2,12,13,88,6.3,1,9.9,1,6.27,CSE,4,50.79,D
12,12,2,7,9,65,1.3,3,7.1,5,3.85,CSE,3,30.57,FAIL
10,9,4,12,14,56,4.8,0,8.7,5,5.84,ECE,3,40.41,FAIL
11,7,0,12,10,59,2.6,1,3.0,9,5.27,ECE,3,31.71,FAIL
13,10,6,10,11,67,3.3,2,9.3,6,4.92,ECE,4,37.72,FAIL
12,8,3,11,16,69,5.9,3,5.9,4,5.0,CSE,1,41.88,FAIL
8,9,4,13,12,63,4.4,1,6.6,3,4.53,CSE,2,38.67,FAIL
7,6,3,11,4,55,0.0,2,7.7,5,3.83,ECE,2,24.47,FAIL
12,9,1,9,15,68,2.0,4,6.8,6,4.4,CSE,1,30.98,FAIL
14,12,9,12,15,77,6.0,1,7.3,4,6.23,MECH,1,51.33,D
19,10,6,18,15,83,4.9,2,9.4,5,7.33,CSE,3,53.35,D
13,6,4,15,13,66,7.5,4,6.4,9,4.65,CSE,4,35.23,FAIL
12,7,3,11,10,68,7.4,3,5.4,4,4.98,MECH,2,34.71,FAIL
10,8,4,17,12,61,3.3,2,9.7,1,4.92,CSE,2,39.25,FAIL
17,11,3,14,18,74,9.0,1,7.8,7,5.92,MECH,3,53.49,D
16,8,4,12,11,62,4.0,0,9.9,6,5.31,ECE,4,45.14,FAIL
14,9,6,13,13,83,2.1,0,8.3,2,5.61,CSE,2,52.63,D
7,4,5,7,8,48,2.7,1,5.0,6,3.99,CSE,1,24.62,FAIL
15,8,3,17,14,69,0.0,0,8.0,3,5.57,ECE,2,50.9,D
13,10,4,13,15,79,7.2,0,5.5,6,5.83,MECH,1,47.12,FAIL
20,7,6,21,14,77,7.2,1,7.0,9,5.62,MECH,2,51.62,D
14,8,6,14,15,100,2.0,0,6.9,5,5.62,MECH,2,56.67,D
10,9,6,12,12,80,3.5,0,4.6,7,4.71,MECH,2,42.3,FAIL
13,9,6,10,11,59,4.2,0,5.8,3,4.64,MECH,1,43.35,FAIL
12,7,3,15,11,73,2.1,1,10.3,2,5.82,CSE,4,45.02,FAIL
10,7,4,15,11,48,0.5,3,7.4,9,4.08,CSE,2,30.1,FAIL
13,7,2,11,12,73,3.6,2,6.7,6,5.28,CSE,2,39.59,FAIL
7,5,3,10,10,62,3.4,3,9.7,6,4.26,ECE,1,26.57,FAIL
14,13,3,18,15,88,3.2,2,6.4,7,5.29,CSE,4,54.07,D
14,7,2,9,19,66,4.4,1,6.9,4,5.02,ECE,3,43.57,FAIL
14,6,5,12,17,73,6.9,2,8.5,7,5.03,CSE,2,40.76,FAIL
16,7,3,17,10,65,3.4,2,6.4,6,5.14,MECH,1,42.81,FAIL
17,10,5,17,12,100,4.3,1,5.9,2,6.02,ECE,4,60.19,C
14,11,3,12,15,70,5.5,2,3.6,8,5.82,CSE,2,41.07,FAIL
17,10,6,18,14,100,5.1,0,5.6,8,5.64,MECH,4,57.46,D
12,10,4,9,13,87,2.8,2,5.6,2,5.3,ECE,3,45.63,FAIL
15,11,4,17,13,82,4.2,1,7.2,5,5.34,CSE,1,54.73,D
14,8,2,7,13,80,5.1,3,6.1,5,4.77,MECH,3,36.95,FAIL
10,9,6,10,13,80,1.7,0,10.2,8,5.68,CSE,1,41.45,FAIL
15,8,4,14,11,46,6.5,0,5.4,2,5.24,MECH,4,41.08,FAIL
21,10,5,11,8,70,6.9,1,9.1,10,5.35,CSE,2,44.96,FAIL
15,9,2,13,13,87,2.6,4,7.3,5,4.77,MECH,4,40.01,FAIL
8,9,5,16,16,74,4.4,0,8.2,6,5.64,CSE,4,48.52,FAIL
10,7,3,9,8,53,5.3,2,8.1,8,4.28,MECH,4,27.17,FAIL
8,8,3,11,14,74,2.9,1,3.7,5,4.44,MECH,3,41.14,FAIL
15,10,7,19,17,100,5.0,0,7.0,5,5.88,CSE,2,61.85,C
17,14,5,16,15,93,4.3,1,6.6,4,5.39,ECE,1,56.48,D
9,8,4,16,12,74,1.1,2,5.3,3,4.45,ECE,2,39.37,FAIL
21,10,2,12,17,89,4.9,2,7.7,6,5.54,ECE,3,52.7,D
4,8,6,10,14,69,1.8,2,9.6,5,5.58,MECH,1,32.86,FAIL
12,10,4,16,8,49,5.9,1,3.0,4,5.07,CSE,3,38.5,FAIL
13,6,5,13,16,61,2.7,1,6.2,4,5.13,CSE,1,44.18,FAIL
11,7,4,14,17,98,3.7,1,5.1,6,5.58,ECE,1,49.0,FAIL
11,7,3,13,11,70,6.7,2,7.1,3,5.43,ECE,2,37.98,FAIL
17,12,7,17,9,71,5.0,0,6.5,5,5.76,MECH,3,55.25,D
16,9,4,9,6,70,1.8,1,6.1,7,3.68,MECH,2,39.49,FAIL
21,10,2,17,19,100,2.0,2,8.0,5,5.77,ECE,4,62.13,C
15,9,5,20,16,99,2.8,3,9.5,3,6.4,CSE,1,58.21,D
21,10,7,17,19,100,4.8,0,11.0,5,6.15,ECE,1,68.24,C
12,12,4,9,19,72,4.7,2,5.9,6,4.67,ECE,2,44.26,FAIL
15,8,3,14,9,79,2.3,1,4.3,7,4.59,MECH,1,42.4,FAIL
9,7,2,13,6,52,1.7,0,7.8,3,4.36,ECE,3,33.64,FAIL
13,10,5,20,16,97,4.6,2,9.4,4,6.31,CSE,4,56.3,D
17,8,5,13,13,57,3.6,1,8.2,4,5.5,MECH,2,43.96,FAIL
22,12,4,12,19,78,8.3,0,9.4,4,6.37,ECE,1,58.67,D
11,11,0,11,9,58,4.1,3,6.7,6,4.94,ECE,2,27.74,FAIL
18,10,4,13,13,66,7.6,1,6.1,6,5.67,MECH,1,46.21,FAIL
11,8,4,14,15,62,1.7,2,7.2,7,4.91,ECE,3,40.16,FAIL
17,6,4,11,11,65,0.9,1,6.5,5,4.19,ECE,1,41.37,FAIL
6,7,2,13,12,66,1.8,1,8.0,2,4.39,ECE,3,35.84,FAIL
14,10,5,12,13,66,6.4,1,8.5,6,5.52,MECH,3,45.2,FAIL
13,11,4,18,21,87,7.5,0,8.6,5,6.51,MECH,1,57.49,D
5,7,4,3,13,58,2.4,1,7.8,5,3.96,MECH,4,29.72,FAIL
13,8,4,12,14,78,3.1,2,7.4,2,5.52,MECH,2,44.18,FAIL
13,11,6,10,10,93,1.7,0,8.2,5,5.96,MECH,2,52.34,D
7,7,3,16,13,67,0.4,1,4.1,3,4.44,ECE,2,41.18,FAIL
17,8,5,16,16,64,5.4,1,7.3,6,5.86,MECH,2,51.86,D
18,9,4,16,15,71,4.4,2,7.1,4,5.96,CSE,4,50.64,D
17,12,4,11,18,92,4.0,2,7.3,4,5.6,CSE,3,51.4,D
7,8,3,12,14,77,1.2,3,6.9,2,5.01,ECE,1,40.71,FAIL
15,10,5,16,13,67,7.3,5,7.6,7,5.14,CSE,1,40.76,FAIL
14,10,8,11,17,82,3.0,3,6.1,4,5.3,MECH,1,49.24,FAIL
9,9,5,10,12,58,5.1,2,8.7,5,4.59,ECE,2,36.53,FAIL
13,6,6,15,15,85,1.1,2,7.7,4,4.53,MECH,3,49.14,FAIL
11,6,4,9,13,81,3.6,0,7.2,2,4.46,CSE,4,42.47,FAIL
11,7,3,12,15,70,4.6,1,6.0,4,5.17,ECE,4,39.24,FAIL
11,11,1,12,19,62,4.7,1,8.2,4,6.27,ECE,2,41.67,FAIL
13,7,2,12,15,61,4.3,1,7.3,6,3.91,MECH,1,39.67,FAIL
18,10,2,17,13,83,5.0,1,5.9,4,5.38,CSE,1,50.93,D
13,9,5,18,16,93,1.7,1,6.9,4,5.27,ECE,2,55.26,D
16,6,4,14,11,65,4.4,3,7.9,2,5.38,CSE,1,42.99,FAIL
20,9,3,19,18,81,4.2,0,7.8,5,6.08,MECH,3,59.37,D
11,7,4,12,10,43,4.5,1,7.7,3,4.46,CSE,3,34.21,FAIL
10,7,4,7,6,66,4.1,2,7.1,8,3.78,MECH,2,24.94,FAIL
13,8,2,12,13,74,1.5,1,8.5,5,4.76,ECE,1,44.12,FAIL
8,4,5,10,13,61,1.4,3,8.9,6,4.35,CSE,2,32.5,FAIL
10,5,1,11,10,60,0.0,2,8.1,5,3.41,ECE,3,32.2,FAIL
14,5,5,13,11,64,5.6,1,6.1,5,5.24,MECH,1,38.45,FAIL
10,6,4,13,15,79,5.7,2,5.4,3,4.94,CSE,3,43.36,FAIL
10,7,7,12,14,72,5.7,1,6.2,3,5.43,CSE,2,43.44,FAIL
8,3,5,10,13,41,4.6,2,9.9,5,4.72,ECE,1,25.66,FAIL
9,3,0,7,10,43,0.0,0,7.4,6,3.47,MECH,3,26.43,FAIL
12,9,7,15,9,65,1.9,1,10.2,1,5.93,ECE,1,43.19,FAIL
14,12,2,12,14,81,4.3,1,6.8,4,5.32,ECE,2,45.26,FAIL
13,5,1,16,6,33,4.3,3,6.6,9,4.0,ECE,3,21.86,FAIL
14,7,6,10,13,67,3.6,2,6.9,6,5.18,CSE,3,37.01,FAIL
11,8,4,9,9,67,4.7,3,6.9,8,4.96,ECE,4,32.26,FAIL
12,9,5,17,15,95,4.0,2,5.8,4,5.68,MECH,1,48.97,FAIL
13,6,4,8,13,69,4.2,3,5.3,4,4.63,ECE,3,32.72,FAIL
9,9,2,12,5,80,2.7,1,7.8,7,4.47,ECE,3,33.14,FAIL
19,9,7,13,14,77,6.0,2,8.6,6,5.63,MECH,1,47.33,FAIL
11,5,6,12,5,43,3.1,0,10.7,5,4.34,CSE,4,31.9,FAIL
14,8,1,14,16,86,1.3,3,6.3,2,5.73,CSE,2,46.37,FAIL
9,13,3,16,6,78,2.5,2,6.5,7,4.75,CSE,4,38.46,FAIL
15,10,5,14,12,82,3.3,3,5.8,10,4.97,MECH,3,41.69,FAIL
20,10,5,17,21,100,6.0,2,8.7,2,5.92,MECH,1,62.96,C
9,1,2,10,6,43,3.9,1,8.2,8,3.82,ECE,3,22.48,FAIL
19,7,6,14,14,100,3.6,0,5.7,4,6.46,ECE,1,55.27,D
10,8,4,9,11,70,1.5,3,5.6,4,4.69,MECH,1,36.96,FAIL
15,9,7,16,15,79,5.6,0,8.4,6,5.98,CSE,3,56.94,D
18,5,1,14,5,74,2.7,0,7.6,3,4.57,ECE,1,41.91,FAIL
11,8,2,12,12,68,3.8,0,8.1,5,5.02,CSE,2,38.7,FAIL
17,9,4,15,18,66,7.0,0,5.7,2,6.22,MECH,2,54.52,D
11,7,7,11,19,79,5.0,0,4.2,6,4.26,ECE,2,51.17,D
11,6,5,11,8,52,0.7,2,5.7,9,4.94,CSE,4,29.97,FAIL
15,6,4,13,12,86,0.5,1,8.0,4,5.29,ECE,1,48.3,FAIL
10,5,4,14,14,68,3.9,1,10.2,5,4.97,MECH,2,39.07,FAIL
8,4,4,9,8,58,1.6,2,6.4,5,4.67,ECE,4,25.08,FAIL
16,9,6,14,19,68,5.3,0,10.4,7,5.92,MECH,3,52.55,D
15,6,4,19,14,93,4.1,2,8.2,6,5.2,ECE,1,48.02,FAIL
15,12,4,18,12,66,4.3,2,4.9,7,4.33,MECH,3,48.31,FAIL
14,11,4,13,15,80,2.6,0,7.3,4,5.39,ECE,4,51.01,D
20,11,2,19,10,64,7.5,1,8.3,6,5.68,ECE,3,50.47,D
20,10,3,21,18,86,9.7,2,3.4,1,6.07,MECH,3,63.15,C
20,8,3,17,12,85,3.4,0,8.0,6,5.53,MECH,2,52.17,D
22,8,5,12,15,100,4.7,3,8.8,3,6.59,CSE,3,52.31,D
12,13,5,9,15,72,4.2,3,7.6,4,5.42,CSE,3,40.05,FAIL
18,11,4,12,17,85,3.5,2,6.9,6,4.88,MECH,3,48.41,FAIL
16,10,2,11,13,76,2.3,0,6.7,2,5.28,CSE,4,46.2,FAIL
17,9,5,12,19,94,1.8,1,6.7,7,5.96,MECH,4,52.79,D
15,6,3,13,10,64,1.7,1,5.2,5,4.69,MECH,2,42.29,FAIL
14,11,4,17,10,86,4.8,0,6.0,8,5.74,CSE,2,50.92,D
13,11,4,18,9,72,3.0,6,6.4,3,4.89,ECE,1,39.43,FAIL
11,9,6,10,16,74,0.0,0,7.2,1,5.23,ECE,2,51.49,D
21,7,4,12,20,76,4.9,1,6.2,5,5.65,ECE,3,50.66,D
12,8,7,15,15,78,3.9,3,5.7,6,5.78,MECH,3,44.29,FAIL
12,11,3,12,14,73,6.7,0,8.1,6,6.13,MECH,4,45.39,FAIL
11,7,3,19,13,78,4.7,1,7.6,3,5.05,MECH,4,47.11,FAIL
15,9,5,14,15,98,1.0,3,6.2,2,6.1,ECE,3,48.99,FAIL
14,12,3,14,14,89,0.0,0,7.8,4,6.01,ECE,4,56.7,D
16,8,2,13,15,88,2.6,2,6.3,6,4.83,MECH,2,47.2,FAIL
11,4,4,11,12,68,2.7,0,7.1,6,4.37,MECH,2,41.33,FAIL
11,14,2,12,9,61,5.9,2,8.5,8,5.0,ECE,1,36.07,FAIL
16,12,3,22,11,89,4.0,1,6.1,4,5.58,MECH,4,55.25,D
19,10,5,16,17,88,6.3,2,5.2,1,5.8,ECE,1,59.01,D
13,8,6,14,11,97,1.4,1,6.8,7,4.5,CSE,2,46.82,FAIL
17,5,4,13,14,65,5.9,1,5.0,5,5.79,MECH,2,45.77,FAIL
13,8,4,15,13,71,5.4,2,6.6,6,4.74,MECH,1,45.29,FAIL
7,4,1,8,6,50,0.0,1,6.6,7,3.71,MECH,2,21.11,FAIL
15,9,3,14,14,69,6.6,3,3.3,8,4.8,ECE,4,40.13,FAIL
14,12,1,15,16,89,4.2,2,7.8,5,4.87,CSE,2,47.78,FAIL
15,8,2,14,11,68,4.8,2,6.7,7,4.16,ECE,3,41.5,FAIL
18,13,5,15,17,84,2.3,1,8.8,6,5.04,CSE,3,56.6,D
15,7,4,15,20,72,6.6,3,7.3,4,6.01,ECE,3,46.41,FAIL
15,5,4,13,10,79,1.6,2,8.1,5,5.21,MECH,3,38.97,FAIL
14,10,4,8,12,57,5.7,1,8.8,6,4.11,CSE,4,41.28,FAIL
17,10,6,15,15,76,5.6,2,6.8,4,6.21,CSE,2,51.56,D
10,6,5,9,6,30,2.1,2,7.0,7,4.26,CSE,1,24.46,FAIL
15,10,6,18,15,72,8.0,0,4.6,5,5.5,ECE,3,54.04,D
12,8,3,5,5,50,4.5,0,8.9,6,4.94,ECE,3,29.29,FAIL
17,12,6,17,18,93,5.3,3,6.8,8,5.74,ECE,3,52.8,D
12,10,5,12,17,86,0.9,1,5.5,6,5.96,CSE,3,49.46,FAIL
12,10,2,19,18,82,8.2,1,8.1,5,6.42,CSE,4,51.52,D
13,14,2,18,17,97,1.6,0,3.7,5,5.17,CSE,4,58.74,D
12,8,3,12,10,60,6.0,2,6.4,5,4.49,ECE,2,33.3,FAIL
19,9,4,19,6,100,2.0,0,8.4,6,5.57,CSE,1,55.95,D
15,8,4,17,12,88,2.8,0,6.3,8,5.35,ECE,2,48.62,FAIL
15,10,1,14,10,71,5.6,2,5.9,4,5.26,CSE,3,44.22,FAIL
14,10,6,11,16,92,6.1,2,6.4,4,5.57,ECE,3,49.65,FAIL
8,2,3,11,14,58,1.5,2,4.0,8,4.23,ECE,3,29.53,FAIL
10,8,6,11,14,62,6.2,0,8.1,4,4.94,ECE,1,43.38,FAIL
10,7,4,6,13,65,6.1,1,6.8,5,5.69,ECE,2,37.62,FAIL
13,8,4,8,15,67,2.1,1,6.6,4,4.65,ECE,4,38.76,FAIL
13,8,2,17,18,59,7.2,2,6.6,2,4.48,CSE,1,45.31,FAIL
17,7,2,13,14,93,1.1,2,7.0,5,4.98,CSE,2,47.41,FAIL
14,10,4,16,10,71,2.8,2,8.0,7,4.84,CSE,2,44.89,FAIL
15,9,5,19,15,80,5.0,2,6.9,5,5.69,ECE,3,52.81,D
6,7,1,13,13,66,2.3,1,5.0,2,5.13,ECE,1,38.91,FAIL
16,6,5,9,10,47,4.5,2,7.9,5,4.16,ECE,2,35.91,FAIL
15,9,5,11,18,79,4.5,0,7.7,3,5.68,MECH,4,50.38,D
4,8,2,11,13,46,3.6,1,7.3,1,4.74,ECE,1,34.44,FAIL
15,8,3,11,11,73,5.7,1,8.6,5,5.37,CSE,3,40.65,FAIL
8,7,4,7,7,54,3.5,2,7.0,6,4.14,ECE,2,25.34,FAIL
13,9,4,14,14,100,4.5,1,8.7,7,5.7,ECE,4,52.72,D
19,10,6,17,15,88,6.3,0,9.1,9,7.14,CSE,1,55.11,D
14,11,5,15,14,76,5.6,0,7.9,6,6.34,ECE,4,49.36,FAIL
18,8,4,14,15,93,5.6,0,5.9,7,4.96,ECE,4,53.26,D
11,8,1,13,11,62,1.7,2,6.8,2,4.97,ECE,2,38.54,FAIL
15,10,6,14,15,83,5.0,2,8.9,8,5.22,ECE,3,48.13,FAIL
14,10,2,14,11,77,2.2,2,4.8,8,4.59,MECH,3,40.27,FAIL
14,5,3,15,9,78,1.4,1,6.4,4,5.46,MECH,1,43.55,FAIL
15,12,7,18,12,94,3.9,1,6.5,6,5.35,MECH,2,58.33,D
13,7,4,12,9,85,2.2,2,5.7,6,4.61,CSE,2,39.83,FAIL
20,6,5,11,13,79,5.6,3,8.3,8,5.89,ECE,1,39.69,FAIL
14,6,6,10,12,50,5.6,1,7.6,5,4.35,CSE,4,39.37,FAIL
8,8,5,7,9,60,0.2,1,5.9,4,4.52,ECE,1,33.54,FAIL
8,7,3,14,9,73,2.3,1,7.9,4,4.4,MECH,3,38.03,FAIL
8,10,5,6,10,76,1.1,2,6.8,7,4.13,ECE,3,33.7,FAIL
